ID,nombre,plataforma,ano_de_lanzamiento,genero,distribuidora,ventas_na,ventas_eu,ventas_jp,ventas_otros
7128,NBA 2K7,XB,2006-01-01,Sports,Take-Two Interactive,0.02,0.01,0.0,0.0
7129,NBA 2K7,X360,2006-01-01,Sports,Take-Two Interactive,0.53,0.0,0.0,0.04
7130,NBA 2K7,PS2,2006-01-01,Sports,Take-Two Interactive,0.65,0.02,0.0,0.11
7131,NBA 2K7,PS3,2006-01-01,Sports,Take-Two Interactive,0.3,0.04,0.0,0.03
7132,NBA Ballers: Phenom,XB,2006-01-01,Sports,Midway Games,0.09,0.03,0.0,0.0
7133,NBA Ballers: Phenom,PS2,2006-01-01,Sports,Midway Games,0.23,0.18,0.0,0.06
7134,NBA Ballers: Rebound,PSP,2006-01-01,Sports,Midway Games,0.09,0.0,0.0,0.01
7135,NBA Live 07,PS2,2006-01-01,Sports,Electronic Arts,1.07,0.04,0.02,0.17
7136,NBA Live 07,XB,2006-01-01,Sports,Electronic Arts,0.04,0.01,0.0,0.0
7137,NBA Live 07,X360,2006-01-01,Sports,Electronic Arts,0.42,0.0,0.0,0.04
7138,NBA Live 07,PSP,2006-01-01,Sports,Electronic Arts,0.47,0.0,0.0,0.04
7139,NCAA Football 07,PS2,2006-01-01,Sports,Electronic Arts,1.41,0.05,0.0,0.23
7140,NCAA Football 07,XB,2006-01-01,Sports,Electronic Arts,0.42,0.12,0.0,0.01
7141,NCAA Football 07,X360,2006-01-01,Sports,Electronic Arts,0.67,0.0,0.0,0.06
7142,NCAA Football 07,PSP,2006-01-01,Sports,Electronic Arts,0.34,0.0,0.0,0.03
7143,NFL Head Coach,XB,2006-01-01,Sports,Electronic Arts,0.09,0.03,0.0,0.0
7144,NFL Head Coach,PS2,2006-01-01,Sports,Electronic Arts,0.38,0.01,0.0,0.06
7145,NFL Street 3,PSP,2006-01-01,Sports,Electronic Arts,0.24,0.0,0.0,0.02
7146,NHL 07,X360,2006-01-01,Sports,Electronic Arts,0.25,0.0,0.0,0.02
7147,NHL 07,PSP,2006-01-01,Sports,Electronic Arts,0.13,0.02,0.0,0.02
7148,NHL 07,XB,2006-01-01,Sports,Electronic Arts,0.02,0.01,0.0,0.0
7149,NHL 07,PS2,2006-01-01,Sports,Electronic Arts,0.42,0.02,0.0,0.07
7150,NHL 2K7,PS3,2006-01-01,Sports,Take-Two Interactive,0.11,0.0,0.0,0.01
7151,NHL 2K7,XB,2006-01-01,Sports,Take-Two Interactive,0.01,0.0,0.0,0.0
7152,NHL 2K7,X360,2006-01-01,Sports,Take-Two Interactive,0.07,0.0,0.0,0.01
7153,Nacho Libre,DS,2006-01-01,Action,Majesco Entertainment,0.03,0.0,0.0,0.0
7154,Naruto RPG 3: Rejiuu vs Konoha Shoutai,DS,2006-01-01,Role-Playing,Takara Tomy,0.0,0.0,0.09,0.0
7155,Naruto Shippuden: Ninja Destiny 3,DS,2006-01-01,Fighting,D3Publisher,0.0,0.01,0.13,0.0
7156,Naruto: Ninja Council 3,DS,2006-01-01,Action,D3Publisher,0.39,0.0,0.0,0.03
7157,Naruto: Ninja Destiny,DS,2006-01-01,Fighting,Namco Bandai Games,0.02,0.01,0.16,0.0
7158,Naruto: Ninja Destiny (US sales),DS,2006-01-01,Fighting,Namco Bandai Games,0.3,0.0,0.0,0.0
7159,Naruto: Path of the Ninja 2,DS,2006-01-01,Role-Playing,Takara Tomy,0.22,0.0,0.0,0.02
7160,Naruto: Ultimate Ninja Heroes,PSP,2006-01-01,Fighting,Namco Bandai Games,0.26,0.0,0.0,0.0
7161,Naruto: Ultimate Ninja Heroes (JP sales),PSP,2006-01-01,Fighting,Namco Bandai Games,0.0,0.0,0.06,0.0
7162,Naruto: Ultimate Ninja Heroes 2 - The Phantom Fortress,PSP,2006-01-01,Fighting,Atari,0.14,0.0,0.0,0.01
7163,Naruto: Uzumaki Chronicles 2,PS2,2006-01-01,Action,Namco Bandai Games,0.28,0.22,0.0,0.07
7164,Naruto: Uzumaki Chronicles 2 (JP sales),PS2,2006-01-01,Action,Namco Bandai Games,0.0,0.0,0.05,0.0
7165,Need for Speed Carbon,PS3,2006-01-01,Racing,Electronic Arts,0.49,0.5,0.03,0.2
7166,Need for Speed Carbon,PS3,2006-01-01,Racing,Electronic Arts,0.49,0.5,0.03,0.2
7167,Need for Speed Carbon,PS3,2006-01-01,Racing,Electronic Arts,0.49,0.5,0.03,0.2
7168,Need for Speed Carbon,PS3,2006-01-01,Racing,Electronic Arts,0.49,0.5,0.03,0.2
7169,Need for Speed Carbon,Wii,2006-01-01,Racing,Electronic Arts,0.45,0.66,0.02,0.15
7170,Need for Speed Carbon,X360,2006-01-01,Racing,Electronic Arts,0.76,0.69,0.02,0.18
7171,Need for Speed Carbon,X360,2006-01-01,Racing,Electronic Arts,0.76,0.69,0.02,0.18
7172,Need for Speed Carbon,X360,2006-01-01,Racing,Electronic Arts,0.76,0.69,0.02,0.18
7173,Need for Speed Carbon,X360,2006-01-01,Racing,Electronic Arts,0.76,0.69,0.02,0.18
7174,Need for Speed Carbon,PS2,2006-01-01,Racing,Electronic Arts,1.22,0.05,0.05,0.01
7175,Need for Speed Carbon,PS2,2006-01-01,Racing,Electronic Arts,1.22,0.05,0.05,0.01
7176,Need for Speed Carbon,PS2,2006-01-01,Racing,Electronic Arts,1.22,0.05,0.05,0.01
7177,Need for Speed Carbon,PS2,2006-01-01,Racing,Electronic Arts,1.22,0.05,0.05,0.01
7178,Need for Speed Carbon,Wii,2006-01-01,Racing,Electronic Arts,0.45,0.66,0.02,0.15
7179,Need for Speed Carbon,Wii,2006-01-01,Racing,Electronic Arts,0.45,0.66,0.02,0.15
7180,Need for Speed Carbon,Wii,2006-01-01,Racing,Electronic Arts,0.45,0.66,0.02,0.15
7181,Need for Speed Carbon,PC,2006-01-01,Racing,Electronic Arts,0.0,0.04,0.0,0.01
7182,Need for Speed Carbon,PC,2006-01-01,Racing,Electronic Arts,0.0,0.04,0.0,0.01
7183,Need for Speed Carbon,PC,2006-01-01,Racing,Electronic Arts,0.0,0.04,0.0,0.01
7184,Need for Speed Carbon,PC,2006-01-01,Racing,Electronic Arts,0.0,0.04,0.0,0.01
7185,Need for Speed Carbon,GC,2006-01-01,Racing,Electronic Arts,0.27,0.07,0.0,0.01
7186,Need for Speed Carbon,GC,2006-01-01,Racing,Electronic Arts,0.27,0.07,0.0,0.01
7187,Need for Speed Carbon,GC,2006-01-01,Racing,Electronic Arts,0.27,0.07,0.0,0.01
7188,Need for Speed Carbon,GC,2006-01-01,Racing,Electronic Arts,0.27,0.07,0.0,0.01
7189,Need for Speed Carbon,XB,2006-01-01,Racing,Electronic Arts,0.35,0.1,0.0,0.02
7190,Need for Speed Carbon,XB,2006-01-01,Racing,Electronic Arts,0.35,0.1,0.0,0.02
7191,Need for Speed Carbon,XB,2006-01-01,Racing,Electronic Arts,0.35,0.1,0.0,0.02
7192,Need for Speed Carbon,XB,2006-01-01,Racing,Electronic Arts,0.35,0.1,0.0,0.02
7193,Need for Speed Carbon: Own the City,PSP,2006-01-01,Racing,Electronic Arts,0.87,0.97,0.0,0.58
7194,Need for Speed Carbon: Own the City,DS,2006-01-01,Racing,Electronic Arts,0.17,0.01,0.0,0.02
7195,Negima!? 3-Jikanme ~Koi to Mahou to Sekaiju Densetsu~,PS2,2006-01-01,Adventure,Konami Digital Entertainment,0.0,0.0,0.04,0.0
7196,"Negima!? Chou Mahora Taisen Kattoiin, Keiyaku Shikkou Dechai masuu",DS,2006-01-01,Adventure,Marvelous Interactive,0.0,0.0,0.04,0.0
7197,Neo Angelique,PS2,2006-01-01,Adventure,Tecmo Koei,0.0,0.0,0.02,0.0
7198,Neopets Petpet Adventures: The Wand of Wishing,PSP,2006-01-01,Adventure,Sony Computer Entertainment,0.11,0.0,0.0,0.01
7199,Neverwinter Nights 2,PC,2006-01-01,Role-Playing,Atari,0.0,0.02,0.0,0.0
7200,New Super Mario Bros.,DS,2006-01-01,Platform,Nintendo,11.28,9.14,6.5,2.88
7201,Nicktoons: Battle for Volcano Island,DS,2006-01-01,Action,THQ,0.27,0.0,0.0,0.02
7202,Nicktoons: Unite!,DS,2006-01-01,Adventure,THQ,0.1,0.0,0.0,0.01
7203,Nobunaga no Yabou DS,DS,2006-01-01,Strategy,Tecmo Koei,0.0,0.0,0.01,0.0
7204,Nobunaga's Ambition: Iron Triangle,PS2,2006-01-01,Strategy,Tecmo Koei,0.04,0.03,0.0,0.01
7205,Nounai Aeshe: IQ Suppli DS,DS,2006-01-01,Misc,Spike,0.0,0.0,0.3,0.0
7206,Ochaken no Heya DS,DS,2006-01-01,Simulation,MTO,0.0,0.0,0.12,0.0
7207,Odama,GC,2006-01-01,Misc,Nintendo,0.07,0.02,0.02,0.0
7208,Okami,PS2,2006-01-01,Action,Capcom,0.11,0.03,0.15,0.34
7209,Onechanbara: Bikini Samurai Squad,X360,2006-01-01,Action,D3Publisher,0.11,0.01,0.0,0.01
7210,Onimusha: Dawn of Dreams,PS2,2006-01-01,Action,Capcom,0.15,0.12,0.34,0.04
7211,Online Chess Kingdoms,PSP,2006-01-01,Misc,Konami Digital Entertainment,0.01,0.0,0.0,0.0
7212,Open Season,GC,2006-01-01,Platform,Ubisoft,0.13,0.03,0.0,0.0
7213,Open Season,X360,2006-01-01,Platform,Ubisoft,0.1,0.0,0.0,0.01
7214,Open Season,DS,2006-01-01,Platform,Ubisoft,0.12,0.0,0.0,0.01
7215,Open Season,PS2,2006-01-01,Platform,Ubisoft,0.01,0.01,0.0,0.0
7216,Open Season,PSP,2006-01-01,Platform,Ubisoft,0.07,0.0,0.0,0.01
7217,Open Season,Wii,2006-01-01,Platform,Ubisoft,0.06,0.0,0.0,0.01
7218,Oshare Majo Love and Berry: DS Collection,DS,2006-01-01,Misc,Sega,0.0,0.0,1.01,0.0
7219,Otometeki Koi Kakumei * Love Revo,PS2,2006-01-01,Adventure,Interchannel,0.0,0.0,0.03,0.0
7220,OutRun 2006: Coast 2 Coast,PS2,2006-01-01,Racing,Sega,0.02,0.01,0.01,0.0
7221,OutRun 2006: Coast 2 Coast,PSP,2006-01-01,Racing,Sega,0.03,0.01,0.0,0.0
7222,Over G Fighters,X360,2006-01-01,Simulation,Ubisoft,0.19,0.01,0.0,0.02
7223,Over the Hedge,GBA,2006-01-01,Platform,Activision,0.19,0.07,0.0,0.0
7224,Over the Hedge,DS,2006-01-01,Platform,Activision,0.24,0.01,0.0,0.02
7225,Over the Hedge,GC,2006-01-01,Platform,Activision,0.27,0.07,0.0,0.01
7226,Over the Hedge,XB,2006-01-01,Platform,Activision,0.07,0.02,0.0,0.0
7227,Over the Hedge,PS2,2006-01-01,Platform,Activision,0.45,0.02,0.0,0.07
7228,Over the Hedge: Hammy Goes Nuts!,DS,2006-01-01,Platform,Activision,0.12,0.0,0.0,0.01
7229,Over the Hedge: Hammy Goes Nuts!,PSP,2006-01-01,Platform,Activision,0.05,0.0,0.0,0.0
7230,PQ2: Practical Intelligence Quotient,PSP,2006-01-01,Puzzle,D3Publisher,0.04,0.0,0.0,0.0
7231,PaRappa The Rapper,PSP,2006-01-01,Misc,Sony Computer Entertainment,0.11,0.0,0.02,0.02
7232,Pac-Man World Rally,PS2,2006-01-01,Racing,Namco Bandai Games,0.01,0.01,0.0,0.0
7233,Pac-Man World Rally,PSP,2006-01-01,Racing,Namco Bandai Games,0.04,0.0,0.0,0.0
7234,Pac-Man World Rally,GC,2006-01-01,Racing,Namco Bandai Games,0.06,0.02,0.0,0.0
7235,Pac-Man: Adventures in Time,PSP,2006-01-01,Fighting,Sony Computer Entertainment,0.76,1.09,0.12,0.64
7236,PachiPara 13: Super Umi no Pachi-Pro Fuuunroku,PS2,2006-01-01,Misc,Irem Software Engineering,0.0,0.0,0.06,0.0
7237,Painkiller: Hell Wars,XB,2006-01-01,Shooter,DreamCatcher Interactive,0.03,0.01,0.0,0.0
7238,ParaWorld,PC,2006-01-01,Strategy,Deep Silver,0.0,0.02,0.0,0.0
7239,Parfait: Chocolat Second Style,PS2,2006-01-01,Adventure,Alchemist,0.59,0.46,0.01,0.15
7240,Paws & Claws: Pet Resort,GBA,2006-01-01,Simulation,THQ,0.12,0.04,0.0,0.0
7241,Personal Trainer: Cooking,DS,2006-01-01,Misc,Nintendo,0.9,1.0,1.03,0.17
7242,Petz: Catz 2,PS2,2006-01-01,Simulation,Ubisoft,0.18,0.14,0.0,0.05
7243,Phantasy Star Universe,PS2,2006-01-01,Role-Playing,Sega,0.0,0.0,0.19,0.0
7244,Phantasy Star Universe,X360,2006-01-01,Role-Playing,Sega,0.09,0.01,0.0,0.01
7245,Phoenix Wright: Ace Attorney - Justice for All,DS,2006-01-01,Adventure,Capcom,0.21,0.04,0.26,0.03
7246,Pimp My Ride,X360,2006-01-01,Racing,Activision,0.1,0.0,0.0,0.01
7247,Pinball Hall of Fame: The Gottlieb Collection,Wii,2006-01-01,Misc,System 3 Arcade Software,0.12,0.0,0.0,0.01
7248,Pirates of the Caribbean: Dead Man's Chest,PSP,2006-01-01,Adventure,Disney Interactive Studios,0.25,0.0,0.0,0.02
7249,Pirates of the Caribbean: Dead Man's Chest,DS,2006-01-01,Adventure,Disney Interactive Studios,0.23,0.01,0.0,0.02
7250,Pirates of the Caribbean: Dead Man's Chest,GBA,2006-01-01,Adventure,Disney Interactive Studios,0.33,0.12,0.0,0.01
7251,Pirates of the Caribbean: The Legend of Jack Sparrow,PS2,2006-01-01,Adventure,Ubisoft,0.12,0.09,0.0,0.03
7252,Pirates: Legend of the Black Buccaneer,PS2,2006-01-01,Adventure,10TACLE Studios,0.01,0.01,0.0,0.0
7253,Planetarium Creator Ohira Takayuki Kanshuu: HomeStar Portable - 21st Century Star Navigator,PSP,2006-01-01,Misc,Sega,0.0,0.0,0.02,0.0
7254,Platypus,PSP,2006-01-01,Shooter,Funsta,0.02,0.0,0.0,0.0
7255,Point Blank DS (JP sales),DS,2006-01-01,Shooter,Atari,0.0,0.0,0.07,0.0
7256,Point Blank DS (US sales),DS,2006-01-01,Shooter,Atari,0.05,0.0,0.0,0.0
7257,Pokemon Battle Revolution,Wii,2006-01-01,Role-Playing,Nintendo,0.78,0.37,0.3,0.13
7258,Pokemon Diamond/Pokemon Pearl,DS,2006-01-01,Role-Playing,Nintendo,6.38,4.46,6.04,1.36
7259,Pokemon Ranger,DS,2006-01-01,Role-Playing,Nintendo,1.28,0.03,0.73,0.12
7260,Pop'n Music 12 Iroha,PS2,2006-01-01,Simulation,Konami Digital Entertainment,0.0,0.0,0.02,0.0
7261,Pop'n Music 13 Carnival,PS2,2006-01-01,Simulation,Konami Digital Entertainment,0.0,0.0,0.03,0.0
7262,Portable Island: Tenohira Resort,PSP,2006-01-01,Simulation,Namco Bandai Games,0.0,0.0,0.02,0.0
7263,Power Play Pool,DS,2006-01-01,Sports,System 3 Arcade Software,0.03,0.0,0.0,0.0
7264,Power Poke Dash,GBA,2006-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.03,0.0
7265,Power Pro Kun Pocket 9,DS,2006-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.15,0.0
7266,Power Stone Collection,PSP,2006-01-01,Action,Capcom,0.08,0.0,0.0,0.01
7267,Prey,PC,2006-01-01,Shooter,Take-Two Interactive,0.0,0.03,0.0,0.01
7268,Prey,X360,2006-01-01,Shooter,Take-Two Interactive,0.27,0.03,0.0,0.03
7269,"Princess Natasha: Student, Secret Agent, Princess",DS,2006-01-01,Action,Zoo Digital Publishing,0.03,0.0,0.0,0.0
7270,Pro Yaky? Spirits 3,PS2,2006-01-01,Sports,Konami Digital Entertainment,0.0,0.0,0.16,0.0
7271,Pro Yakyuu Netsu Star 2006,PS2,2006-01-01,Sports,Namco Bandai Games,0.0,0.0,0.14,0.0
7272,Project Hacker: Kakusei,DS,2006-01-01,Action,Nintendo,0.0,0.0,0.1,0.0
7273,Project Sylpheed: Arc of Deception,X360,2006-01-01,Shooter,Microsoft Game Studios,0.12,0.01,0.02,0.01
7274,Puyo Puyo! 15th Anniversary,DS,2006-01-01,Puzzle,Sega,0.0,0.0,0.28,0.0
7275,Puzzle Challenge: Crosswords and More!,PS2,2006-01-01,Puzzle,Crave Entertainment,0.01,0.01,0.0,0.0
7276,Puzzle Challenge: Crosswords and More!,PSP,2006-01-01,Puzzle,Crave Entertainment,0.18,0.0,0.0,0.01
7277,QuickSpot,DS,2006-01-01,Misc,Namco Bandai Games,0.01,0.0,0.13,0.0
7278,Quiz Mobile Gundam: Toi Senshi DX,PSP,2006-01-01,Puzzle,Namco Bandai Games,0.0,0.0,0.04,0.0
7279,Race Driver 2006,PSP,2006-01-01,Racing,Codemasters,0.03,0.0,0.0,0.0
7280,Railfan,PS3,2006-01-01,Simulation,Ongakukan,0.0,0.0,0.01,0.0
7281,Rakushou! Pachi-Slot Sengen 4,PS2,2006-01-01,Misc,Tecmo Koei,0.0,0.0,0.01,0.0
7282,Rampage: Total Destruction,Wii,2006-01-01,Action,Midway Games,0.19,0.01,0.0,0.02
7283,Rampage: Total Destruction,PS2,2006-01-01,Action,Midway Games,0.18,0.14,0.0,0.05
7284,Rampage: Total Destruction,GC,2006-01-01,Action,Midway Games,0.31,0.08,0.0,0.01
7285,Rapala Tournament Fishing!,X360,2006-01-01,Sports,Activision,0.03,0.0,0.0,0.0
7286,Rapala Tournament Fishing!,Wii,2006-01-01,Sports,Activision,0.51,0.0,0.0,0.04
7287,Rapala Trophies,PSP,2006-01-01,Sports,Activision,0.04,0.0,0.0,0.0
7288,Raw Danger!,PS2,2006-01-01,Action,505 Games,0.02,0.01,0.0,0.0
7289,Raw Danger! (JP sales),PS2,2006-01-01,Action,505 Games,0.0,0.0,0.06,0.0
7290,Rayman Raving Rabbids,PC,2006-01-01,Misc,Ubisoft,0.0,0.01,0.0,0.0
7291,Rayman Raving Rabbids,Wii,2006-01-01,Misc,Ubisoft,1.22,0.06,0.02,0.11
7292,Real World Golf,XB,2006-01-01,Sports,Mad Catz,0.02,0.01,0.0,0.0
7293,Rebel Raiders: Operation Nighthawk,PS2,2006-01-01,Simulation,Kando Games,0.02,0.01,0.0,0.0
7294,Red Steel,Wii,2006-01-01,Shooter,Ubisoft,0.54,0.03,0.04,0.05
7295,Reel Fishing: The Great Outdoors,PSP,2006-01-01,Sports,Natsume,0.05,0.0,0.0,0.0
7296,Rengoku II:  The Stairway To H.E.A.V.E.N.,PSP,2006-01-01,Action,Konami Digital Entertainment,0.02,0.0,0.0,0.0
7297,Rengoku II: The Stairway to H.E.A.V.E.N. (jp sales),PSP,2006-01-01,Action,Konami Digital Entertainment,0.0,0.0,0.01,0.0
7298,Resident Evil,PS3,2006-01-01,Action,Capcom,0.0,0.0,0.12,0.0
7299,Resident Evil,PS3,2006-01-01,Action,Capcom,0.0,0.0,0.12,0.0
7300,Resident Evil Director's Cut,PS3,2006-01-01,Action,Capcom,0.0,0.0,0.05,0.0
7301,Resident Evil: Deadly Silence,DS,2006-01-01,Action,Capcom,0.11,0.02,0.11,0.01
7302,Resistance: Fall of Man,PS3,2006-01-01,Shooter,Sony Computer Entertainment,1.74,1.72,0.14,0.75
7303,Rhythm Tengoku,GBA,2006-01-01,Misc,Nintendo,0.0,0.0,0.3,0.01
7304,Ridge Racer 2,PSP,2006-01-01,Racing,Sony Computer Entertainment,0.0,0.02,0.07,0.01
7305,Ridge Racer 7,PS3,2006-01-01,Racing,Namco Bandai Games,0.24,0.7,0.16,0.26
7306,Rise of Nations: Rise of Legends,PC,2006-01-01,Strategy,Microsoft Game Studios,0.0,0.03,0.0,0.01
7307,Riviera: The Promised Land,PSP,2006-01-01,Role-Playing,505 Games,0.07,0.0,0.02,0.01
7308,Rockstar Games presents Table Tennis,X360,2006-01-01,Sports,Take-Two Interactive,0.28,0.38,0.0,0.08
7309,Rogue Trooper,XB,2006-01-01,Shooter,Eidos Interactive,0.01,0.0,0.0,0.0
7310,Rogue Trooper,PS2,2006-01-01,Shooter,Eidos Interactive,0.02,0.02,0.0,0.01
7311,Rome: Total War - Gold Edition,PC,2006-01-01,Strategy,Sega,0.0,0.03,0.0,0.01
7312,Rozen Maiden: Duellwalzer,PS2,2006-01-01,Adventure,Taito,0.0,0.0,0.02,0.0
7313,Ruff Trigger: The Vanocore Conspiracy,PS2,2006-01-01,Platform,Natsume,0.01,0.01,0.0,0.0
7314,Rugby 06,XB,2006-01-01,Sports,Electronic Arts,0.01,0.0,0.0,0.0
7315,Rugby 06,PS2,2006-01-01,Sports,Electronic Arts,0.02,0.02,0.0,0.01
7316,Rule of Rose,PS2,2006-01-01,Action,505 Games,0.01,0.01,0.0,0.0
7317,Rumble Roses XX,X360,2006-01-01,Fighting,Konami Digital Entertainment,0.07,0.01,0.04,0.01
7318,Rune Factory: A Fantasy Harvest Moon,DS,2006-01-01,Role-Playing,Rising Star Games,0.35,0.01,0.14,0.03
7319,Rurouni Kenshin: Enjou! Kyoto Rinne,PS2,2006-01-01,Action,Banpresto,0.0,0.0,0.13,0.0
7320,Rush,PSP,2006-01-01,Racing,Midway Games,0.11,0.0,0.0,0.01
7321,Ryu-koku,PS2,2006-01-01,Adventure,KID,0.0,0.0,0.02,0.0
7322,SD Gundam G Generation Portable,PSP,2006-01-01,Strategy,Namco Bandai Games,0.0,0.0,0.27,0.0
7323,SD Gundam: Scad Hammers,Wii,2006-01-01,Strategy,Namco Bandai Games,0.0,0.0,0.05,0.0
7324,SNK vs. Capcom Card Fighters DS,DS,2006-01-01,Strategy,Ignition Entertainment,0.09,0.0,0.0,0.01
7325,SNK vs. Capcom: The Match of the Millennium,PS2,2006-01-01,Fighting,Sega,0.0,0.02,0.0,0.12
7326,SNK vs. Capcom: The Match of the Millennium,PSP,2006-01-01,Fighting,Sega,0.53,0.57,0.0,0.34
7327,SOCOM: U.S. Navy SEALs Fireteam Bravo 2,PSP,2006-01-01,Shooter,Sony Computer Entertainment,0.81,0.11,0.0,0.13
7328,SOCOM: U.S. Navy SEALs: Combined Assault,PS2,2006-01-01,Shooter,Sony Computer Entertainment,1.74,0.02,0.0,0.28
7329,Saint Seiya: The Hades,PS2,2006-01-01,Fighting,Namco Bandai Games,0.0,0.0,0.04,0.0
7330,Saints Row,X360,2006-01-01,Action,THQ,1.17,0.77,0.02,0.22
7331,Sakura Wars 1 & 2,PSP,2006-01-01,Strategy,Sega,0.0,0.0,0.02,0.0
7332,Samurai Champloo: Sidetracked,PS2,2006-01-01,Action,Namco Bandai Games,0.03,0.02,0.0,0.01
7333,Samurai Shodown V,XB,2006-01-01,Fighting,Ignition Entertainment,0.02,0.0,0.0,0.0
7334,Samurai Warriors 2,PS2,2006-01-01,Action,Tecmo Koei,0.02,0.02,0.57,0.01
7335,Samurai Warriors 2,X360,2006-01-01,Action,Tecmo Koei,0.07,0.01,0.0,0.01
7336,Samurai Warriors 2: Empires,PS2,2006-01-01,Action,Tecmo Koei,0.0,0.0,0.19,0.0
7337,San-X Land: Theme Park de Asobou!,DS,2006-01-01,Action,MTO,0.0,0.0,0.04,0.0
7338,Scarface: Money. Power. Respect.,PSP,2006-01-01,Strategy,Vivendi Games,0.15,0.0,0.0,0.01
7339,Scarface: The World is Yours,PS2,2006-01-01,Action,Vivendi Games,0.99,0.04,0.0,0.16
7340,Scarface: The World is Yours,PC,2006-01-01,Action,Vivendi Games,0.01,0.02,0.0,0.0
7341,Scarface: The World is Yours,XB,2006-01-01,Action,Vivendi Games,0.37,0.11,0.0,0.02
7342,Scooby-Doo! Who's Watching Who?,DS,2006-01-01,Adventure,THQ,0.08,0.01,0.0,0.01
7343,Scooby-Doo! Who's Watching Who?,PSP,2006-01-01,Adventure,THQ,0.07,0.0,0.0,0.01
7344,Scurge: Hive,DS,2006-01-01,Action,SouthPeak Games,0.05,0.0,0.0,0.0
7345,Secret Files: Tunguska,PC,2006-01-01,Adventure,DreamCatcher Interactive,0.0,0.04,0.0,0.0
7346,Sega Ages 2500 Series Vol. 26: Dynamite Deka,PS2,2006-01-01,Action,Sega,0.0,0.0,0.02,0.0
7347,Sega Golf Club: Miyazato San Kyoudai Naizou,PS3,2006-01-01,Sports,Sega,0.0,0.0,0.01,0.0
7348,Sengoku Basara 2,PS2,2006-01-01,Action,Capcom,0.0,0.0,0.26,0.0
7349,Shakugan no Shana,PS2,2006-01-01,Adventure,Media Works,0.0,0.0,0.03,0.0
7350,Shin Chan: Las Nuevas Aventuras Para Wii!,Wii,2006-01-01,Action,505 Games,0.0,0.0,0.07,0.0
7351,Shin Megami Tensei: Devil Summoner - Raidou Kuzunoha vs. The Soulless Army,PS2,2006-01-01,Role-Playing,Tecmo Koei,0.0,0.0,0.09,0.0
7352,Shin Megami Tensei: Persona 3,PS2,2006-01-01,Role-Playing,Tecmo Koei,0.22,0.03,0.0,0.2
7353,Shin Megami Tensei: Persona 3 (jp sales),PS2,2006-01-01,Role-Playing,Tecmo Koei,0.0,0.0,0.21,0.0
7354,Shinseiki Evangelion 2: Tsukurareshi Sekai - Another Cases,PSP,2006-01-01,Adventure,Namco Bandai Games,0.0,0.0,0.05,0.0
7355,Shonen Jump's One Piece: Grand Adventure,GC,2006-01-01,Fighting,Namco Bandai Games,0.03,0.01,0.0,0.0
7356,Shrek / Shark Tale Game Boy Advance Video,GBA,2006-01-01,Misc,Hasbro Interactive,0.01,0.0,0.0,0.0
7357,Shrek Smash n' Crash Racing,GC,2006-01-01,Racing,Activision,0.1,0.03,0.0,0.0
7358,Shrek Smash n' Crash Racing,PSP,2006-01-01,Racing,Activision,0.08,0.0,0.0,0.01
7359,Sid Meier's Railroads!,PC,2006-01-01,Simulation,Take-Two Interactive,0.01,0.03,0.0,0.0
7360,Simple 2000 Series Vol. 105: The Maid Fuku to Kikanjuu,PS2,2006-01-01,Action,D3Publisher,0.0,0.0,0.02,0.0
7361,Simple DS Series Vol. 8: The Kanshikikan - Kinkyuu Shutsudou!! Jiken Genba wo Touch Seyo,DS,2006-01-01,Adventure,D3Publisher,0.0,0.0,0.03,0.0
7362,SingStar Anthems,PS2,2006-01-01,Misc,Sony Computer Entertainment,0.0,0.68,0.0,0.2
7363,SingStar Legends,PS2,2006-01-01,Misc,Sony Computer Entertainment,0.12,0.75,0.0,0.23
7364,SingStar Rocks!,PS2,2006-01-01,Misc,Sony Computer Entertainment,0.0,0.84,0.0,0.25
7365,Snoopy vs the Red Baron,PSP,2006-01-01,Adventure,Namco Bandai Games,0.04,0.0,0.0,0.0
7366,Sonic Riders,PS2,2006-01-01,Racing,Sega,0.42,0.02,0.0,0.07
7367,Sonic Riders,XB,2006-01-01,Racing,Sega,0.1,0.03,0.0,0.0
7368,Sonic Riders,GC,2006-01-01,Racing,Sega,0.71,0.18,0.0,0.03
7369,Sonic Rivals,PSP,2006-01-01,Racing,Sega,0.73,0.42,0.0,0.27
7370,Sonic the Hedgehog,PS3,2006-01-01,Platform,Sega,0.41,0.06,0.04,0.66
7371,Sonic the Hedgehog,PS3,2006-01-01,Platform,Sega,0.41,0.06,0.04,0.66
7372,Sonic the Hedgehog,PS3,2006-01-01,Platform,Sega,0.41,0.06,0.04,0.66
7373,Sonic the Hedgehog,X360,2006-01-01,Platform,Sega,0.44,0.48,0.0,0.11
7374,Sonic the Hedgehog,X360,2006-01-01,Platform,Sega,0.44,0.48,0.0,0.11
7375,Sonic the Hedgehog,X360,2006-01-01,Platform,Sega,0.44,0.48,0.0,0.11
7376,Sony Computer Science Kenkyuujo Mogi Kenichirou Hakase Kanshuu: Nou ni Kaikan Aha Taiken!,PSP,2006-01-01,Misc,Sega,0.0,0.0,0.07,0.0
7377,SoulLink Extension,PS2,2006-01-01,Adventure,Interchannel,0.0,0.0,0.01,0.0
